Year,State Name,Dist Name,COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),JANUARY PERCIPITATION (Millimeters),FEBRUARY PERCIPITATION (Millimeters),MARCH PERCIPITATION (Millimeters),APRIL PERCIPITATION (Millimeters),MAY PERCIPITATION (Millimeters),JUNE PERCIPITATION (Millimeters),JULY PERCIPITATION (Millimeters),AUGUST PERCIPITATION (Millimeters),SEPTEMBER PERCIPITATION (Millimeters),OCTOBER PERCIPITATION (Millimeters),NOVEMBER PERCIPITATION (Millimeters),DECEMBER PERCIPITATION (Millimeters),JANUARY MINIMUM (Centigrate),FEBRUARY MINIMUM (Centigrate),MARCH MINIMUM (Centigrate),APRIL MINIMUM (Centigrate),MAY MINIMUM (Centigrate),JUNE MINIMUM (Centigrate),JULY MINIMUM (Centigrate),AUGUST MINIMUM (Centigrate),SEPTEMBER MINIMUM (Centigrate),OCTOBER MINIMUM (Centigrate),NOVEMBER MINIMUM (Centigrate),DECEMBER MINIMUM (Centigrate),JANUARY MAXIMUM (Centigrate),FEBRUARY MAXIMUM (Centigrate),MARCH MAXIMUM (Centigrate),APRIL MAXIMUM (Centigrate),MAY MAXIMUM (Centigrate),JUNE MAXIMUM (Centigrate),JULY MAXIMUM (Centigrate),AUGUST MAXIMUM (Centigrate),SEPTEMBER MAXIMUM (Centigrate),OCTOBER MAXIMUM (Centigrate),NOVEMBER MAXIMUM (Centigrate),DECEMBER MAXIMUM (Centigrate),JANUARY WATER DEFICIT (Millimeters),FEBRUARY WATER DEFICIT (Millimeters),MARCH WATER DEFICIT (Millimeters),APRIL WATER DEFICIT (Millimeters),MAY WATER DEFICIT (Millimeters),JUNE WATER DEFICIT (Millimeters),JULY WATER DEFICIT (Millimeters),AUGUST WATER DEFICIT (Millimeters),OCTOBER WATER DEFICIT (Millimeters),NOVEMBER WATER DEFICIT (Millimeters),DECEMBER WATER DEFICIT (Millimeters),JANUARY ACTUAL (Millimeters),FEBRUARY ACTUAL (Millimeters),MARCH ACTUAL (Millimeters),APRIL ACTUAL (Millimeters),MAY ACTUAL (Millimeters),JUNE ACTUAL (Millimeters),JULY ACTUAL (Millimeters),AUGUST ACTUAL (Millimeters),SEPTEMBER ACTUAL (Millimeters),OCTOBER ACTUAL (Millimeters),NOVEMBER ACTUAL (Millimeters),DECEMBER ACTUAL (Millimeters),JANUARY POTENTIAL (Millimeters),FEBRUARY POTENTIAL (Millimeters),MARCH POTENTIAL (Millimeters),APRIL POTENTIAL (Millimeters),MAY POTENTIAL (Millimeters),JUNE POTENTIAL (Millimeters),JULY POTENTIAL (Millimeters),AUGUST POTENTIAL (Millimeters),SEPTEMBER POTENTIAL (Millimeters),OCTOBER POTENTIAL (Millimeters),NOVEMBER POTENTIAL (Millimeters),DECEMBER POTENTIAL (Millimeters),TOTAL AREA (1000 ha),FOREST AREA (1000 ha),BARREN AND UNCULTIVABLE LAND AREA (1000 ha),LAND PUT TO NONAGRICULTURAL USE AREA (1000 ha),CULTIVABLE WASTE LAND AREA (1000 ha),PERMANENT PASTURES AREA (1000 ha),OTHER FALLOW AREA (1000 ha),CURRENT FALLOW AREA (1000 ha),NET CROPPED AREA (1000 ha),GROSS CROPPED AREA (1000 ha),CROPING INTENSITY (Percent),NITROGEN CONSUMPTION (tons),NITROGEN SHARE IN NPK (Percent),NITROGEN PER HA OF NCA (Kg per ha),NITROGEN PER HA OF GCA (Kg per ha),PHOSPHATE CONSUMPTION (tons),PHOSPHATE SHARE IN NPK (Percent),PHOSPHATE PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF GCA (Kg per ha),POTASH CONSUMPTION (tons),POTASH SHARE IN NPK (Percent),POTASH PER HA OF NCA (Kg per ha),POTASH PER HA OF GCA (Kg per ha),TOTAL CONSUMPTION (tons),TOTAL PER HA OF NCA (Kg per ha),TOTAL PER HA OF GCA (Kg per ha)
1990,Andhra Pradesh,Srikakulam,0.0,0.0,0,4.05,50.75,75.34,18.869999999999997,57.59,123.74,153.98,352.13,170.02,285.82,55.92,30.61,20.5,22.7,27.11,29.64,29.24,28.38,26.31,29.71,28.53,25.52,23.1,20.77,32.010000000000005,30.91,33.03,34.4,34.37,33.44,31.56,34.519999999999996,33.47,33.64,31.77,29.63,68.96,51.0,65.95,143.34,106.58,31.32,12.17,0.0,0.0,0.0,25.21,39.95,65.65,84.95,27.71,63.7,118.66,125.85,129.95999999999998,125.1,118.81,87.78,71.41,103.91,112.65,150.9,169.05,168.28,150.98,135.02,130.95999999999998,126.11,118.81,110.99,103.25,903.31,130.36,104.08,112.64,16.630000000000003,,12.75,29.55,498.96,627.26,129.12,31003.0,78.37,65.63,53.66,9306.0,23.32,19.79,15.9,1383.0,,5.79,4.21,41684.0,85.21,67.77
1990,Andhra Pradesh,Visakhapatnam,7.0,3.0,3333,,54.03,94.67,12.21,143.97,115.08,167.31,338.3,198.25,316.53,46.86,30.56,17.11,19.16,21.37,26.56,23.87,27.06,24.27,23.67,23.67,23.76,22.59,18.990000000000002,29.39,32.09,31.59,37.1,35.84,34.57,,32.39,32.83,29.78,27.94,27.84,64.07,46.93,52.66,147.25,44.54,37.9,12.17,0.0,0.0,0.0,22.39,40.1,69.98,,24.71,135.0,111.49,113.43,118.59,118.49,117.22,81.39,67.81,99.17,111.91,152.26,169.96,175.55,148.38,123.61,119.59,119.49,117.22,102.78,95.98,1451.3,535.76,202.15,126.13,20.09,7.82,17.86,20.8,511.69,646.47,127.3,36622.0,84.72,74.98,58.99,6835.0,18.240000000000002,15.43,11.63,1363.0,4.029999999999999,5.67,3.11,44809.0,90.08,73.74
1990,Andhra Pradesh,East Godavari,49.0,238.0,4944,3.2800000000000002,39.9,68.64,8.120000000000001,207.71,131.98000000000002,168.96,279.25,197.16,278.65,41.65,,21.34,23.55,,27.93,26.25,28.28,25.81,25.98,27.97,25.37,21.98,21.07,31.98,30.63,36.76,38.03,37.12,34.16,31.3,33.41,33.58,32.4,32.489999999999995,29.51,64.94,58.1,76.6,155.27,14.45,36.75,8.51,0.0,0.0,0.0,29.38,43.18,63.72,86.86,27.93,180.42,129.95999999999998,129.82,130.81,127.79,121.34,80.29,69.08,107.12,117.82,161.47,178.2,,,134.34,127.81,126.79,124.34,108.67,103.82,1083.84,327.24,84.49,113.25,26.35,30.71,23.0,40.07,448.8,698.74,160.64,,,238.12,152.38,21088.0,19.689999999999998,48.41,32.269999999999996,7882.0,6.86,19.71,13.31,,303.24,194.95
1990,Andhra Pradesh,West Godavari,26.0,120.0,4964,4.14,43.94,48.83,5.390000000000001,230.23,146.55,,276.9,186.57,216.59,29.18,18.54,21.02,23.89,23.17,26.57,25.82,29.05,26.62,26.72,28.69,24.28,24.74,22.09,33.05,33.72,35.69,39.07,39.25,38.52,33.5,33.379999999999995,34.45,31.36,32.879999999999995,31.89,73.01,59.46,98.81,163.75,5.54,29.09,3.25,0.0,0.0,0.0,33.28,40.79,62.15,69.23,20.1,193.59,145.74,138.54,136.05,130.53,123.14,78.27,64.71000000000001,111.8,117.61,165.03,178.85,193.13,171.83,140.79,136.05,127.53,122.14,109.55,106.5,780.54,85.19,50.32,93.54,39.32,27.32,43.99,6.41,447.61,627.21,143.94,109664.0,70.1,249.2,177.4,37972.0,,89.59,64.72999999999999,18271.0,14.01,42.18,33.22,165898.0,375.97,266.35
1990,Andhra Pradesh,Krishna,996.0,289.0,2892,1.18,,32.47,2.26,236.77,,127.99,199.73,174.79,194.32,37.99,9.879999999999999,22.27,21.52,,29.09,27.3,26.43,27.73,25.93,27.04,24.47,23.66,,32.769999999999996,35.01,38.51,37.96,37.15,37.22,34.09,35.91,34.17,33.769999999999996,32.57,33.629999999999995,69.48,70.44,118.34,,2.65,41.1,19.52,2.01,0.0,4.09,37.92,48.17,60.3,57.06,17.65,196.76,137.99,,140.6,133.54,124.59,74.85,,116.65,126.75,171.39,177.88,195.41,175.09,143.58,141.61,131.55,125.67,111.77,109.42,883.69,68.4,66.33,114.89,43.86,22.17,36.84,31.28,505.26,736.47,150.33,88821.0,65.53999999999999,181.19,125.09,37910.0,28.12,77.62,53.68,,13.34,29.04,21.79,139778.0,,193.57
1990,Andhra Pradesh,Guntur,16104.0,869.0,5371,4.23,20.38,42.8,4.1,260.78,100.95,91.03,151.39,154.59,158.91,46.96,8.6,22.71,21.43,26.19,30.16,26.79,28.92,26.72,29.21,25.77,25.13,21.94,19.84,31.2,33.61,38.97,38.86,40.88,39.93,36.21,36.98,34.05,34.33,33.81,30.77,89.85,98.65,128.82,173.94,5.16,62.21,54.06,13.97,2.15,4.23,49.42,26.5,30.18,49.85,9.29,196.27,120.9,98.2,137.88,132.09,122.95,64.28,30.6,114.35,129.82999999999998,177.66,182.24,200.43,177.11,150.26,149.85,134.24,122.19,107.71,106.98,1922.29,367.56,111.82,213.28,92.34,,80.75,80.75,888.19,,133.72,138586.0,65.1,,120.96,55160.0,28.51,64.31,49.95,22460.0,13.39,26.37,22.11,216196.0,248.23,188.03
1990,Andhra Pradesh,Kurnool,7747.0,1317.0,1701,1.18,5.78,17.07,9.780000000000001,159.93,80.41,75.49,127.15,109.07,89.38,22.71,5.05,18.77,23.12,27.02,27.58,28.42,26.3,23.93,23.81,24.81,,24.13,19.21,33.54,35.92,40.26,39.6,39.19,36.6,35.09,33.519999999999996,34.91,32.08,31.69,,117.16,136.21,171.59,186.24,48.98,102.16,85.3,38.28,37.99,52.21,96.13,,7.36,17.28,11.879999999999999,152.13,76.87,70.81,114.5,104.83,88.29,21.08,2.8899999999999997,119.38,141.57,189.87,194.13,200.11,176.03,155.11,151.78,141.83,136.5,115.21,116.68,2035.28,392.05,126.76,127.68,97.42,17.55,158.36,120.32,1009.68,1110.24,,46619.0,58.7,47.31,43.06,29718.0,37.87,32.519999999999996,27.81,8890.0,12.43,10.83,12.02,85223.0,85.65,80.9
1990,Andhra Pradesh,Kadapa YSR,27.0,46.0,1681,4.84,6.07,17.11,10.3,171.3,46.27,56.86,81.98,109.39,144.17,46.4,12.43,20.35,,25.61,27.24,26.97,27.89,25.88,25.09,25.81,25.49,21.52,20.66,31.89,35.54,40.44,40.99,38.84,37.31,36.84,34.91,34.11,33.22,31.06,31.97,117.02,134.62,170.22,186.56,49.54,142.1,110.73,83.94,43.03,17.46,61.98,7.54,9.43,20.09,9.34,155.81,46.93,55.3,76.44,104.96,120.56,48.87,14.96,120.56,142.04,188.3,195.9,201.36,189.03,163.04,158.38,143.99,132.01,108.85,111.6,1539.84,508.5,,,68.76,22.44,120.66,14.82,386.29,422.78,110.81,,63.02,89.34,80.63,16010.0,31.59,44.87,41.13,5082.0,10.39,17.29,16.1,54096.0,143.5,131.87
1990,Andhra Pradesh,Chittoor,0.0,0.0,0,9.21,7.73,19.78,11.15,141.84,31.16,53.78,74.01,132.65,,80.11,,18.19,23.13,23.83,,25.92,25.53,24.63,24.82,26.34,23.25,23.53,21.84,29.13,33.68,38.21,38.51,,34.75,33.4,35.79,33.980000000000004,33.870000000000005,31.46,28.31,88.79,113.21,147.45,168.75,51.47,,100.38,80.28,20.94,3.57,32.510000000000005,32.2,23.09,,17.85,138.14,35.75,55.12,70.76,121.11,122.87,69.76,36.08,113.98,137.3,176.84,182.6,189.6,174.64,154.5,151.04,139.06,123.44,104.28,105.12,1501.77,457.36,168.95,143.05,51.18,41.8,112.27,46.37,474.3,512.98,109.54,22615.0,66.49000000000001,48.78,47.43,9787.0,31.47,24.67,20.22,3221.0,10.04,9.8,9.32,35618.0,78.25,71.97
1990,Bihar,Muzaffarpur,3.0,0.0,0,8.129999999999999,23.99,13.38,11.26,52.95,154.09,297.12,224.84,172.5,51.78,2.68,2.41,12.49,16.630000000000003,17.01,23.99,26.94,28.84,27.47,27.12,27.62,23.58,19.009999999999998,11.51,26.62,28.75,32.28,36.1,36.05,36.77,32.09,32.84,32.36,32.65,31.7,26.27,37.77,44.85,100.58,162.39,125.5,7.81,0.0,0.0,0.0,27.06,40.29,29.98,42.82,31.6,18.8,59.4,145.85,126.01,122.55,112.74,87.01,,32.730000000000004,69.76,82.68,131.17,182.19,179.9,153.66,128.01,123.55,113.74,111.07,85.04,64.92,786.17,0.0,35.81,154.78,2.82,,9.7,42.25,518.97,794.86,155.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
