Year,State,Planted (1000 Acres),Harvested (1000 Acres),Yield (Pounds/ Harvested Area),Average Temperature Value,Average Temperature Anomaly,Maximum Temperature Value,Maximum Temperature Anomaly,Minimum Temperature Value,Minimum Temperature Anomaly,Precipitation Value,Precipitation Anomaly,Cooling Degree Days Value,Cooling Degree Days Anomaly,Heating Degree Days Value,Heating Degree Days Anomaly,Palmer Drought Severity Index (PDSI) Value,Palmer Drought Severity Index (PDSI) Anomaly,Palmer Hydrological Drought Index (PHDI) Value,Palmer Hydrological Drought Index (PHDI) Anomaly,Palmer Modified Drought Index (PMDI) Value,Palmer Modified Drought Index (PMDI) Anomaly,Palmer Z-Index Value,Palmer Z-Index Anomaly
1975,AL,385,370,406,66.825,1.566666667,75.06666667,2.266666667,54.56666667,2.866666667,7.23,,142.25,,224.9166667,-1.0833333329999997,8.161666667,6.840833333,,4.6841666669999995,6.1325,5.821666667000001,4.8575,2.718333333
1975,,700,680,486,63.875,2.225,73.80833333,1.2083333330000001,52.975,3.258333333,,4.125,128.8333333,-15.333333329999999,299.25,8.75,6.674166667,6.331666667,5.414166667,4.894166667,5.098333332999999,3.68,1.5375,3.3825
1975,AZ,,268,1028,61.89166667,-0.733333333,74.48333333,-0.2916666669999999,45.28333333,0.8500000000000001,4.846666667,3.821666667,209.4166667,-37.5,211.1666667,43.41666667,0.5841666670000001,0.40333333299999996,1.584166667,0.375,1.140833333,2.805,3.648333333,0.893333333
1975,CA,900,875,1074,,-0.38333333299999994,72.7,-0.46666666700000015,46.825,1.6916666669999998,5.745,2.918333333,51.75,-20.58333333,303.0833333,,2.65,4.479166667,1.613333333,4.324166667,1.405,2.1008333329999997,3.068333333,2.3225
1975,FL,4,4,347,73.20833333,4.133333333,83.98333333,2.308333333,64.40833333,2.941666667,8.595833333,4.125,287.8333333,-1.0,49.91666667,-6.666666666999999,1.191666667,1.801666667,4.085,1.7625,2.155,1.778333333,3.239166667,3.455833333
1975,GA,165,160,447,65.71666667,0.841666667,,1.65,54.35833333,1.058333333,6.1125,1.9391666669999998,128.6666667,-12.08333333,234.0833333,-4.083333333,6.935833333,5.2524999999999995,6.935833333,7.194166667,3.911666667,7.223333332999999,,4.3783333330000005
1975,IL,0,0,0,52.98333333,3.733333333,63.75,,46.225,3.116666667,6.395833333000001,4.06,71.41666667,1.1666666669999999,525.0,6.166666666999999,3.544166667,1.6524999999999999,3.165833333,4.084166667,2.8766666670000003,2.9725,1.561666667,1.236666667
1975,KS,0,0,0,55.725,,69.225,2.925,45.20833333,0.9583333329999999,6.180833333,1.83,117.1666667,-5.416666666999999,437.5833333,19.75,2.863333333,2.080833333,2.4175,1.554166667,2.158333333,1.339166667,2.283333333,2.0475
1975,KY,1,1,261,58.775,3.891666667,68.38333333,2.541666667,49.15,3.208333333,6.745833333,3.588333333,94.83333333,-4.166666667,377.1666667,0.5833333330000001,6.468333333,5.6274999999999995,5.468333333,3.4625,5.199166667,3.3625,,2.799166667
1975,LA,320,310,537,70.08333333,1.375,80.56666667,0.333333333,,0.416666667,9.563333333,,197.5833333,-20.75,142.25,-2.75,5.825,6.6166666670000005,5.475833333000001,5.0525,5.298333333,6.026666667000001,2.066666667,2.9175
